user_id,full_name,agency,engagement_start,engagement_end,sponsor,status,feed
c-0001,Priya Weber,Northbridge Technical Services,2025-10-02,,cto@asteria.invalid,active,contractor-register (not published to the offboarding automation)
c-0002,Maya Kuhn,Northbridge Technical Services,2026-02-17,,cto@asteria.invalid,active,contractor-register (not published to the offboarding automation)
c-0003,Priya Raman,Northbridge Technical Services,2025-11-21,2026-05-29,cto@asteria.invalid,terminated,contractor-register (not published to the offboarding automation)
c-0004,Ava Iyer,Northbridge Technical Services,2025-11-10,,cto@asteria.invalid,active,contractor-register (not published to the offboarding automation)
c-0005,Sana Larkin,Northbridge Technical Services,2025-11-08,,cto@asteria.invalid,active,contractor-register (not published to the offboarding automation)
c-0006,Priya Brandt,Northbridge Technical Services,2025-06-03,,cto@asteria.invalid,active,contractor-register (not published to the offboarding automation)
c-0007,Anna Okafor,Northbridge Technical Services,2025-06-10,,cto@asteria.invalid,active,contractor-register (not published to the offboarding automation)
c-0008,Lucas Brandt,Northbridge Technical Services,2025-07-25,,cto@asteria.invalid,active,contractor-register (not published to the offboarding automation)
c-0009,Kenji Girard,Northbridge Technical Services,2025-08-20,,cto@asteria.invalid,active,contractor-register (not published to the offboarding automation)
c-0010,Liam Sommer,Northbridge Technical Services,2025-06-11,,cto@asteria.invalid,active,contractor-register (not published to the offboarding automation)
c-0011,Lena Haddad,Northbridge Technical Services,2025-11-08,,cto@asteria.invalid,active,contractor-register (not published to the offboarding automation)
c-0012,Mathis Girard,Northbridge Technical Services,2025-12-26,,cto@asteria.invalid,active,contractor-register (not published to the offboarding automation)
c-0013,Sana Pemberton,Northbridge Technical Services,2025-07-23,,cto@asteria.invalid,active,contractor-register (not published to the offboarding automation)
c-0014,Lucas Pemberton,Northbridge Technical Services,2025-06-27,,cto@asteria.invalid,active,contractor-register (not published to the offboarding automation)
