user_id,full_name,email,worker_type,department,job_title,location,country,hire_date,termination_date,status
u-0001,Lucas Ashcroft,lucas.ashcroft@asteria.invalid,employee,Engineering,Senior software engineer,Berlin,Germany,2025-04-27,,active
u-0002,Nathan Haddad,nathan.haddad@asteria.invalid,employee,Engineering,Site reliability engineer,Berlin,Germany,2022-12-21,,active
u-0003,Lucas Okafor,lucas.okafor@asteria.invalid,employee,Engineering,Senior software engineer,Berlin,Germany,2025-10-14,,active
u-0004,Hugo Ellery,hugo.ellery@asteria.invalid,employee,Engineering,Software engineer,London,United Kingdom,2023-12-25,,active
u-0005,Ruby Kaiser,ruby.kaiser@asteria.invalid,employee,Engineering,Software engineer,London,United Kingdom,2023-09-09,,active
u-0006,Paul Weber,paul.weber@asteria.invalid,employee,Engineering,Senior software engineer,London,United Kingdom,2025-09-09,,active
u-0007,Nathan Nakamura,nathan.nakamura@asteria.invalid,employee,Engineering,Site reliability engineer,Paris,France,2022-12-23,,active
u-0008,Paul Novak,paul.novak@asteria.invalid,employee,Engineering,Software engineer,London,United Kingdom,2020-08-21,,active
u-0009,Kenji Beaumont,kenji.beaumont@asteria.invalid,employee,Engineering,Software engineer,London,United Kingdom,2020-08-16,,active
u-0010,Amelia Hartley,amelia.hartley@asteria.invalid,employee,Engineering,Software engineer,Berlin,Germany,2020-01-03,2026-06-05,terminated
u-0011,Ethan Whitfield,ethan.whitfield@asteria.invalid,employee,Engineering,Senior software engineer,London,United Kingdom,2019-08-13,,active
u-0012,Liam Haddad,liam.haddad@asteria.invalid,employee,Engineering,Site reliability engineer,Berlin,Germany,2023-06-08,,active
u-0013,Ines Robin,ines.robin@asteria.invalid,employee,Engineering,Site reliability engineer,Austin,United States,2023-02-28,,active
u-0014,Arjun Moreau,arjun.moreau@asteria.invalid,employee,Engineering,Software engineer,Paris,France,2023-02-05,,active
u-0015,Paul Okafor,paul.okafor@asteria.invalid,employee,Engineering,Software engineer,Berlin,Germany,2020-09-22,,active
u-0016,Gabriel Pemberton,gabriel.pemberton@asteria.invalid,employee,Engineering,Site reliability engineer,Austin,United States,2020-05-13,,active
u-0017,Chloe Fontaine,chloe.fontaine@asteria.invalid,employee,Engineering,Staff engineer,Berlin,Germany,2019-03-07,,active
u-0018,Omar Kaiser,omar.kaiser@asteria.invalid,employee,Engineering,Site reliability engineer,Paris,France,2025-05-09,,active
u-0019,Anna Ferreira,anna.ferreira@asteria.invalid,employee,Engineering,Staff engineer,London,United Kingdom,2020-05-09,,active
u-0020,Ethan Novak,ethan.novak@asteria.invalid,employee,Engineering,Site reliability engineer,London,United Kingdom,2022-01-17,,active
u-0021,Lena Bernard,lena.bernard@asteria.invalid,employee,Engineering,Site reliability engineer,Austin,United States,2020-02-29,,active
u-0022,Paul Lefevre,paul.lefevre@asteria.invalid,employee,Engineering,Software engineer,Paris,France,2024-06-06,,active
u-0023,Emma Chevalier,emma.chevalier@asteria.invalid,employee,Engineering,Staff engineer,London,United Kingdom,2019-01-06,,active
u-0024,Hugo Ferreira,hugo.ferreira@asteria.invalid,employee,Engineering,Staff engineer,London,United Kingdom,2022-04-09,,active
u-0025,Grace Masson,grace.masson@asteria.invalid,employee,Engineering,Site reliability engineer,London,United Kingdom,2021-04-07,2026-05-24,terminated
u-0026,Marie Moreau,marie.moreau@asteria.invalid,employee,Engineering,Engineering manager,Paris,France,2019-10-19,,active
u-0027,Omar Chevalier,omar.chevalier@asteria.invalid,employee,Engineering,Site reliability engineer,Austin,United States,2025-03-15,,active
u-0028,Emma Kowalski,emma.kowalski@asteria.invalid,employee,Engineering,Site reliability engineer,London,United Kingdom,2019-12-02,,active
u-0029,Anna Larkin,anna.larkin@asteria.invalid,employee,Engineering,Staff engineer,Paris,France,2020-06-11,,active
u-0030,Ava Adeyemi,ava.adeyemi@asteria.invalid,employee,Engineering,Site reliability engineer,Paris,France,2019-12-31,,active
u-0031,Sana Beaumont,sana.beaumont@asteria.invalid,employee,Engineering,Staff engineer,Paris,France,2021-07-22,2026-06-25,terminated
u-0032,Isla Larsen,isla.larsen@asteria.invalid,employee,Engineering,Engineering manager,Paris,France,2021-03-06,,active
