user_id,upn,enabled,disabled_at,exception_key,last_sign_in,source
u-0001,lucas.ashcroft@asteria.invalid,true,,,2026-07-14T07:00:00Z,entra-id
u-0002,nathan.haddad@asteria.invalid,true,,,2026-07-24T01:00:00Z,entra-id
u-0003,lucas.okafor@asteria.invalid,true,,,2026-07-11T22:00:00Z,entra-id
u-0004,hugo.ellery@asteria.invalid,true,,,2026-07-25T23:00:00Z,entra-id
u-0005,ruby.kaiser@asteria.invalid,true,,,2026-07-17T08:00:00Z,entra-id
u-0006,paul.weber@asteria.invalid,true,,,2026-07-18T22:00:00Z,entra-id
u-0007,nathan.nakamura@asteria.invalid,true,,,2026-07-13T04:00:00Z,entra-id
u-0008,paul.novak@asteria.invalid,true,,,2026-07-16T23:00:00Z,entra-id
u-0009,kenji.beaumont@asteria.invalid,true,,,2026-07-11T09:00:00Z,entra-id
u-0010,amelia.hartley@asteria.invalid,false,2026-06-06T01:00:00Z,,2026-06-05T22:00:00Z,entra-id
u-0011,ethan.whitfield@asteria.invalid,true,,,2026-07-12T05:00:00Z,entra-id
u-0012,liam.haddad@asteria.invalid,true,,,2026-07-28T07:00:00Z,entra-id
u-0013,ines.robin@asteria.invalid,true,,,2026-07-30T05:00:00Z,entra-id
u-0014,arjun.moreau@asteria.invalid,true,,,2026-07-13T07:00:00Z,entra-id
u-0015,paul.okafor@asteria.invalid,true,,,2026-07-21T06:00:00Z,entra-id
u-0016,gabriel.pemberton@asteria.invalid,true,,,2026-07-28T23:00:00Z,entra-id
u-0017,chloe.fontaine@asteria.invalid,true,,,2026-07-17T21:00:00Z,entra-id
u-0018,omar.kaiser@asteria.invalid,true,,,2026-07-26T07:00:00Z,entra-id
u-0019,anna.ferreira@asteria.invalid,true,,,2026-07-20T02:00:00Z,entra-id
u-0020,ethan.novak@asteria.invalid,true,,,2026-07-13T06:00:00Z,entra-id
u-0021,lena.bernard@asteria.invalid,true,,,2026-07-25T07:00:00Z,entra-id
u-0022,paul.lefevre@asteria.invalid,true,,,2026-07-22T00:00:00Z,entra-id
u-0023,emma.chevalier@asteria.invalid,true,,,2026-07-14T05:00:00Z,entra-id
u-0024,hugo.ferreira@asteria.invalid,true,,,2026-07-20T06:00:00Z,entra-id
u-0025,grace.masson@asteria.invalid,false,2026-05-25T09:00:00Z,,2026-05-24T17:00:00Z,entra-id
u-0026,marie.moreau@asteria.invalid,true,,,2026-07-26T06:00:00Z,entra-id
u-0027,omar.chevalier@asteria.invalid,true,,,2026-07-29T07:00:00Z,entra-id
u-0028,emma.kowalski@asteria.invalid,true,,,2026-07-15T22:00:00Z,entra-id
u-0029,anna.larkin@asteria.invalid,true,,,2026-07-13T00:00:00Z,entra-id
u-0030,ava.adeyemi@asteria.invalid,true,,,2026-07-20T05:00:00Z,entra-id
u-0031,sana.beaumont@asteria.invalid,false,2026-06-25T23:00:00Z,,2026-06-25T20:00:00Z,entra-id
