group,member_user_id,member_principal,added_on,review_owner
grp-prod-deploy,u-0152,arjun.brandt@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0237,elias.larkin@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0001,lucas.ashcroft@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0014,arjun.moreau@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0199,hugo.weber@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0039,grace.sommer@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0094,jade.bouchard@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0086,jade.masson@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0081,ines.ferreira@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0229,nadia.kaiser@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0034,nathan.sato@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0087,nathan.raman@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0174,tariq.hoffmann@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0187,louis.okafor@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0222,zoe.moreau@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0225,mathis.whitfield@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0072,mathis.kaiser@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-prod-deploy,u-0068,gabriel.masson@asteria.invalid,2026-02-11,cto@asteria.invalid
grp-finance-approvers,u-0107,noah.lorenz@asteria.invalid,2026-02-11,cfo@asteria.invalid
grp-finance-approvers,u-0192,ethan.raman@asteria.invalid,2026-02-11,cfo@asteria.invalid
grp-finance-approvers,u-0062,elias.brandt@asteria.invalid,2026-02-11,cfo@asteria.invalid
grp-finance-approvers,u-0213,anna.brandt@asteria.invalid,2026-02-11,cfo@asteria.invalid
grp-finance-approvers,u-0220,kenji.hartley@asteria.invalid,2026-02-11,cfo@asteria.invalid
grp-finance-approvers,u-0124,louis.haddad@asteria.invalid,2026-02-11,cfo@asteria.invalid
grp-finance-approvers,u-0168,isaac.okafor@asteria.invalid,2026-02-11,cfo@asteria.invalid
grp-finance-approvers,u-0048,marie.costa@asteria.invalid,2026-02-11,cfo@asteria.invalid
grp-finance-approvers,u-0074,priya.bernard@asteria.invalid,2026-02-11,cfo@asteria.invalid
grp-security-admins,u-0103,caleb.okafor@asteria.invalid,2026-02-11,ciso@asteria.invalid
grp-security-admins,u-0006,paul.weber@asteria.invalid,2026-02-11,ciso@asteria.invalid
grp-security-admins,u-0236,maya.costa@asteria.invalid,2026-02-11,ciso@asteria.invalid
grp-security-admins,u-0216,marie.kaiser@asteria.invalid,2026-02-11,ciso@asteria.invalid
grp-security-admins,u-0192,ethan.raman@asteria.invalid,2026-02-11,ciso@asteria.invalid
grp-security-admins,u-0164,omar.raman@asteria.invalid,2026-02-11,ciso@asteria.invalid
grp-security-admins,u-0011,ethan.whitfield@asteria.invalid,2026-02-11,ciso@asteria.invalid
grp-support-readonly,u-0196,gabriel.sommer@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0111,liam.sato@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0100,lena.moreau@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0010,amelia.hartley@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0051,zoe.whitfield@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0168,isaac.okafor@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0090,rohan.novak@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0119,owen.okafor@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0115,isaac.ferreira@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0071,nadia.bernard@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0050,arjun.masson@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
