user_id,upn,mfa_enrolled,method,enrolled_on
u-0001,lucas.ashcroft@asteria.invalid,true,totp,2026-01-20
u-0002,nathan.haddad@asteria.invalid,true,fido2,2026-01-20
u-0003,lucas.okafor@asteria.invalid,true,fido2,2026-01-20
u-0004,hugo.ellery@asteria.invalid,true,fido2,2026-01-20
u-0005,ruby.kaiser@asteria.invalid,true,fido2,2026-01-20
u-0006,paul.weber@asteria.invalid,true,fido2,2026-01-20
u-0007,nathan.nakamura@asteria.invalid,true,totp,2026-01-20
u-0008,paul.novak@asteria.invalid,true,fido2,2026-01-20
u-0009,kenji.beaumont@asteria.invalid,true,totp,2026-01-20
u-0011,ethan.whitfield@asteria.invalid,true,fido2,2026-01-20
u-0012,liam.haddad@asteria.invalid,true,fido2,2026-01-20
u-0013,ines.robin@asteria.invalid,true,fido2,2026-01-20
u-0014,arjun.moreau@asteria.invalid,true,totp,2026-01-20
u-0015,paul.okafor@asteria.invalid,true,fido2,2026-01-20
u-0016,gabriel.pemberton@asteria.invalid,true,fido2,2026-01-20
u-0017,chloe.fontaine@asteria.invalid,true,fido2,2026-01-20
u-0018,omar.kaiser@asteria.invalid,true,totp,2026-01-20
u-0019,anna.ferreira@asteria.invalid,true,totp,2026-01-20
u-0020,ethan.novak@asteria.invalid,true,fido2,2026-01-20
u-0021,lena.bernard@asteria.invalid,true,totp,2026-01-20
u-0022,paul.lefevre@asteria.invalid,true,totp,2026-01-20
u-0023,emma.chevalier@asteria.invalid,true,totp,2026-01-20
u-0024,hugo.ferreira@asteria.invalid,true,totp,2026-01-20
u-0026,marie.moreau@asteria.invalid,true,fido2,2026-01-20
u-0027,omar.chevalier@asteria.invalid,true,fido2,2026-01-20
u-0028,emma.kowalski@asteria.invalid,true,totp,2026-01-20
u-0029,anna.larkin@asteria.invalid,true,totp,2026-01-20
u-0030,ava.adeyemi@asteria.invalid,true,totp,2026-01-20
u-0032,isla.larsen@asteria.invalid,true,fido2,2026-01-20
u-0033,elias.sommer@asteria.invalid,true,fido2,2026-01-20
u-0034,nathan.sato@asteria.invalid,true,totp,2026-01-20
u-0035,nora.adeyemi@asteria.invalid,true,fido2,2026-01-20
u-0036,sofia.novak@asteria.invalid,true,totp,2026-01-20
u-0037,ethan.sato@asteria.invalid,true,fido2,2026-01-20
u-0038,maya.bianchi@asteria.invalid,true,totp,2026-01-20
u-0039,grace.sommer@asteria.invalid,true,fido2,2026-01-20
