user_id,principal,role,project,granted_on,assignment_type,approved_by
c-0011,lena.haddad@contractor.asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0064,isla.weber@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0030,ava.adeyemi@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0033,elias.sommer@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0092,lucas.brandt@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0074,priya.bernard@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0083,harry.costa@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0050,arjun.masson@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0017,chloe.fontaine@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0046,aisha.bouchard@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0061,zoe.chevalier@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0010,amelia.hartley@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0052,ruby.weber@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0078,rohan.kowalski@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0018,omar.kaiser@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0008,paul.novak@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0053,yuki.fontaine@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0094,jade.bouchard@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
c-0002,maya.kuhn@contractor.asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0071,nadia.bernard@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0057,felix.okafor@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0084,tariq.moreau@asteria.invalid,roles/run.developer,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0037,ethan.sato@asteria.invalid,roles/run.admin,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0046,aisha.bouchard@asteria.invalid,roles/run.admin,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0028,emma.kowalski@asteria.invalid,roles/run.admin,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0019,anna.ferreira@asteria.invalid,roles/run.admin,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0202,george.okafor@asteria.invalid,roles/run.admin,asteria-prod,2026-01-15,standing,cto@asteria.invalid
u-0206,rohan.sommer@asteria.invalid,roles/run.admin,asteria-prod,2026-01-15,standing,cto@asteria.invalid
c-0003,priya.raman@contractor.asteria.invalid,roles/run.admin,asteria-prod,2025-11-03,standing,cto@asteria.invalid
